| Consulta | Precision | Recuerdo | Medida F | Precision R |
|----------|-----------|----------|----------|-------------|
| 1        | 0.0095    | 0.0526   | 0.0161   | 0.0526      |
| 2        | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 3        | 0.0286    | 0.0909   | 0.0435   | 0.0000      |
| 4        | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 5        | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 6        | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 7        | 0.1905    | 0.2667   | 0.2222   | 0.2133      |
| 8        | 0.0095    | 1.0000   | 0.0189   | 0.0000      |
| 9        | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 10       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 11       | 0.0190    | 0.5000   | 0.0367   | 0.2500      |
| 12       | 0.0190    | 0.0513   | 0.0278   | 0.0256      |
| 13       | 0.0571    | 0.1017   | 0.0732   | 0.0678      |
| 14       | 0.0476    | 0.0893   | 0.0621   | 0.0357      |
| 15       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 16       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 17       | 0.0286    | 0.1304   | 0.0469   | 0.0000      |
| 18       | 0.0190    | 0.1538   | 0.0339   | 0.0769      |
| 19       | 0.0095    | 0.0417   | 0.0155   | 0.0000      |
| 20       | 0.0190    | 0.0870   | 0.0313   | 0.0435      |
| 21       | 0.0286    | 0.0600   | 0.0387   | 0.0200      |
| 22       | 0.0952    | 0.1538   | 0.1176   | 0.0769      |
| 23       | 0.0190    | 0.1000   | 0.0320   | 0.0500      |
| 24       | 0.0667    | 0.1795   | 0.0972   | 0.0513      |
| 25       | 0.0095    | 0.0137   | 0.0112   | 0.0137      |
| 26       | 0.0381    | 0.0755   | 0.0506   | 0.0189      |
| 27       | 0.0476    | 0.1786   | 0.0752   | 0.0714      |
| 28       | 0.0190    | 0.2500   | 0.0354   | 0.0000      |
| 29       | 0.0095    | 0.0909   | 0.0172   | 0.0000      |
| 30       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 31       | 0.0286    | 0.2727   | 0.0517   | 0.0000      |
| 32       | 0.0095    | 0.0769   | 0.0169   | 0.0000      |
| 33       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 34       | 0.0095    | 0.1111   | 0.0175   | 0.0000      |
| 35       | 0.0190    | 0.0667   | 0.0296   | 0.0333      |
| 36       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 37       | 0.0571    | 0.2400   | 0.0923   | 0.1600      |
| 38       | 0.0381    | 0.3333   | 0.0684   | 0.0000      |
| 39       | 0.0095    | 0.2000   | 0.0182   | 0.0000      |
| 40       | 0.0952    | 0.3448   | 0.1493   | 0.1379      |
| 41       | 0.0381    | 0.0476   | 0.0423   | 0.0357      |
| 42       | 0.0286    | 0.0833   | 0.0426   | 0.0000      |
| 43       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 44       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 45       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 46       | 0.0571    | 0.1277   | 0.0789   | 0.1064      |
| 47       | 0.0571    | 0.1875   | 0.0876   | 0.0625      |
| 48       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 49       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 50       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 51       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 52       | 0.0190    | 0.0800   | 0.0308   | 0.0400      |
| 53       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 54       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 55       | 0.0095    | 0.0769   | 0.0169   | 0.0769      |
| 56       | 0.0571    | 0.1538   | 0.0833   | 0.0256      |
| 57       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 58       | 0.0095    | 0.1000   | 0.0174   | 0.1000      |
| 59       | 0.0000    | 0.0000   | 0.0000   | 0.0000      |
| 60       | 0.0095    | 0.3333   | 0.0185   | 0.0000      |
| 61       | 0.0286    | 0.0714   | 0.0408   | 0.0000      |
| 62       | 0.0190    | 0.0952   | 0.0317   | 0.0000      |
| 63       | 0.0476    | 0.1667   | 0.0741   | 0.1333      |
| 64       | 0.0762    | 0.3636   | 0.1260   | 0.0455      |
